,genres
550,"['romance', 'comedy', 'drama']"
551,['war']
552,"['war', 'action', 'drama', 'romance']"
553,"['animation', 'family']"
554,"['drama', 'comedy', 'romance']"
555,"['horror', 'thriller', 'war', 'action', 'crime']"
556,['animation']
557,"['horror', 'thriller', 'drama']"
558,"['comedy', 'drama']"
559,"['drama', 'crime', 'comedy']"
560,"['comedy', 'drama']"
561,"['drama', 'comedy']"
562,"['crime', 'drama', 'history', 'action']"
563,['reality']
564,"['drama', 'action']"
565,"['drama', 'romance', 'comedy']"
566,"['drama', 'comedy', 'romance']"
567,"['romance', 'drama', 'comedy']"
568,"['action', 'comedy', 'crime', 'drama']"
569,"['documentation', 'music', 'drama']"
570,"['drama', 'romance', 'european']"
571,"['crime', 'drama', 'action']"
572,"['drama', 'crime', 'action']"
573,['comedy']
574,['drama']
575,['drama']
576,['drama']
577,"['comedy', 'drama', 'history']"
578,"['comedy', 'documentation']"
579,['documentation']
580,['drama']
581,"['thriller', 'action']"
582,"['thriller', 'crime', 'drama', 'action']"
583,['drama']
584,"['fantasy', 'animation', 'action']"
585,['drama']
586,"['thriller', 'action', 'crime']"
587,"['comedy', 'crime', 'drama']"
588,"['drama', 'family', 'romance']"
589,"['thriller', 'horror', 'romance', 'drama']"
590,"['romance', 'thriller', 'action', 'crime', 'drama']"
591,"['drama', 'action']"
592,"['comedy', 'romance']"
593,"['drama', 'romance', 'comedy']"
594,"['thriller', 'horror', 'romance', 'drama']"
595,['drama']
596,"['comedy', 'documentation']"
597,"['action', 'drama', 'thriller']"
598,"['action', 'comedy', 'sport', 'crime']"
599,"['war', 'romance', 'drama', 'history', 'european']"
600,"['comedy', 'action', 'drama', 'fantasy']"
601,"['drama', 'comedy', 'romance']"
602,"['documentation', 'crime']"
603,['drama']
604,['comedy']
605,"['drama', 'thriller', 'action', 'crime']"
606,"['comedy', 'crime', 'action']"
607,"['comedy', 'thriller', 'drama', 'romance']"
608,"['drama', 'comedy']"
609,['drama']
610,['drama']
611,"['drama', 'family', 'comedy']"
612,"['drama', 'music', 'romance', 'comedy']"
613,"['drama', 'sport', 'thriller']"
614,"['comedy', 'crime', 'drama']"
615,"['drama', 'european']"
616,"['drama', 'comedy', 'romance', 'sport']"
617,['drama']
618,[]
619,"['comedy', 'romance', 'drama']"
620,"['romance', 'drama', 'comedy']"
621,"['thriller', 'action', 'drama']"
622,['drama']
623,['drama']
624,"['comedy', 'drama']"
625,"['comedy', 'drama', 'romance']"
626,['animation']
627,"['drama', 'european']"
628,"['animation', 'action']"
629,"['documentation', 'history']"
630,"['drama', 'romance']"
631,[]
632,['animation']
633,"['thriller', 'drama']"
634,"['drama', 'family', 'romance']"
635,[]
636,[]
637,['drama']
638,"['drama', 'family']"
639,"['drama', 'comedy']"
640,['comedy']
641,"['thriller', 'drama', 'history', 'war']"
642,"['action', 'fantasy', 'scifi']"
643,"['animation', 'scifi', 'action', 'family', 'thriller', 'horror', 'fantasy', 'crime', 'comedy', 'drama']"
644,"['thriller', 'action', 'drama', 'crime']"
645,"['thriller', 'action']"
646,"['comedy', 'romance']"
647,"['family', 'drama', 'history', 'european']"
648,"['drama', 'scifi', 'thriller', 'european']"
649,"['thriller', 'drama']"
650,"['western', 'drama']"
651,"['drama', 'western', 'crime', 'action']"
652,"['action', 'animation', 'comedy', 'fantasy']"
653,['reality']
654,"['drama', 'history', 'romance', 'war']"
655,"['thriller', 'drama']"
656,"['drama', 'comedy', 'romance', 'european']"
657,"['scifi', 'animation', 'action', 'comedy', 'drama', 'fantasy', 'horror', 'thriller']"
658,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action']"
659,"['drama', 'thriller', 'scifi', 'action']"
660,"['action', 'crime', 'drama', 'thriller', 'scifi']"
661,"['animation', 'comedy', 'family', 'scifi', 'action', 'fantasy', 'european']"
662,"['scifi', 'action', 'animation', 'drama', 'western', 'fantasy', 'thriller', 'romance', 'comedy']"
663,"['animation', 'drama', 'family', 'scifi', 'action', 'fantasy', 'comedy']"
664,"['action', 'crime', 'thriller']"
665,"['action', 'drama', 'crime', 'thriller']"
666,"['drama', 'thriller', 'crime', 'action']"
667,"['drama', 'crime', 'history', 'romance']"
668,"['comedy', 'animation', 'family']"
669,"['drama', 'crime', 'thriller', 'european']"
670,"['comedy', 'fantasy', 'horror']"
671,"['scifi', 'thriller', 'action', 'crime']"
672,"['scifi', 'action', 'animation', 'comedy', 'family']"
673,"['comedy', 'crime', 'drama']"
674,"['animation', 'family', 'action', 'comedy', 'fantasy']"
675,"['drama', 'family', 'sport']"
676,"['drama', 'comedy', 'romance']"
677,"['thriller', 'action', 'european']"
678,"['fantasy', 'action', 'family', 'animation', 'thriller', 'scifi', 'comedy', 'drama', 'european']"
679,"['reality', 'romance', 'documentation', 'comedy']"
680,"['action', 'comedy', 'sport']"
681,"['action', 'fantasy', 'animation', 'horror', 'war', 'drama']"
682,"['scifi', 'action', 'fantasy', 'horror', 'family', 'animation', 'drama']"
683,['documentation']
684,"['action', 'scifi']"
685,"['comedy', 'drama', 'european']"
686,"['action', 'drama', 'history', 'war']"
687,"['romance', 'comedy', 'drama']"
688,['drama']
689,"['comedy', 'drama', 'european']"
690,"['comedy', 'family', 'animation', 'drama', 'horror', 'thriller']"
691,"['scifi', 'action', 'comedy', 'fantasy', 'horror']"
692,"['comedy', 'documentation', 'action']"
693,"['crime', 'drama', 'thriller', 'history']"
694,"['scifi', 'action', 'animation', 'comedy', 'fantasy']"
695,"['family', 'animation', 'comedy']"
696,"['comedy', 'animation', 'sport']"
697,['horror']
698,"['drama', 'thriller', 'horror']"
699,"['drama', 'comedy', 'romance', 'music']"
700,"['drama', 'animation', 'family', 'comedy', 'fantasy']"
701,"['comedy', 'documentation']"
702,"['scifi', 'animation', 'action']"
703,"['animation', 'comedy', 'family', 'fantasy']"
704,"['fantasy', 'thriller', 'horror', 'drama', 'romance']"
705,"['music', 'comedy', 'scifi']"
706,"['comedy', 'fantasy', 'romance']"
707,"['scifi', 'comedy', 'family', 'animation']"
708,"['drama', 'crime', 'action', 'thriller']"
709,"['action', 'animation', 'fantasy']"
710,"['scifi', 'action', 'animation', 'comedy', 'crime']"
711,"['drama', 'documentation']"
712,"['drama', 'family', 'fantasy']"
713,['comedy']
714,['drama']
715,"['action', 'comedy', 'scifi', 'family', 'fantasy', 'animation']"
716,"['drama', 'action', 'crime']"
717,"['comedy', 'drama']"
718,"['animation', 'comedy', 'family', 'fantasy']"
