,genres
683,"['comedy', 'drama', 'romance', 'action']"
684,"['action', 'music', 'western']"
685,"['documentation', 'comedy']"
686,"['western', 'action', 'romance']"
687,"['western', 'action']"
688,"['western', 'action', 'drama', 'music']"
689,['western']
690,"['western', 'action', 'crime', 'drama', 'music', 'comedy']"
691,"['romance', 'comedy', 'drama']"
692,"['action', 'drama', 'romance']"
693,"['drama', 'action']"
694,[]
695,"['western', 'action']"
696,"['western', 'drama', 'music', 'action', 'comedy']"
697,"['western', 'comedy', 'music', 'action']"
698,"['scifi', 'action', 'drama', 'romance']"
699,['western']
700,"['western', 'comedy', 'music', 'romance', 'action']"
701,"['western', 'action', 'drama', 'music', 'romance']"
702,"['crime', 'action', 'drama', 'romance']"
703,"['western', 'history', 'war']"
704,"['drama', 'action']"
705,['western']
706,['western']
707,"['drama', 'crime']"
708,['drama']
709,"['romance', 'drama', 'sport', 'family']"
710,"['thriller', 'action', 'crime', 'drama']"
711,"['comedy', 'thriller']"
712,"['western', 'action']"
713,"['western', 'action', 'music', 'romance', 'war']"
714,['comedy']
715,"['drama', 'history']"
716,"['drama', 'romance']"
717,"['drama', 'action', 'western', 'romance']"
718,"['drama', 'crime']"
719,"['drama', 'romance']"
720,"['drama', 'crime']"
721,"['thriller', 'crime', 'drama']"
722,"['drama', 'romance']"
723,['drama']
724,"['thriller', 'romance', 'comedy', 'crime']"
725,"['western', 'drama', 'action']"
726,['western']
727,"['western', 'romance', 'action', 'crime']"
728,"['drama', 'crime']"
729,"['action', 'romance', 'crime']"
730,"['comedy', 'romance']"
731,['documentation']
732,"['western', 'drama', 'music', 'action']"
733,['western']
734,"['drama', 'crime', 'romance', 'thriller']"
735,"['drama', 'music', 'romance']"
736,"['drama', 'romance', 'comedy', 'crime']"
737,"['drama', 'crime']"
738,"['western', 'crime', 'romance', 'action']"
739,"['comedy', 'romance']"
740,['western']
741,['western']
742,"['action', 'crime', 'romance']"
743,"['western', 'comedy', 'drama', 'action']"
744,['western']
745,"['crime', 'drama']"
746,"['western', 'drama', 'romance']"
747,"['thriller', 'action', 'crime', 'romance']"
748,"['drama', 'western', 'action']"
749,"['western', 'action']"
750,['action']
751,['thriller']
752,"['action', 'western', 'romance']"
753,"['western', 'romance', 'action']"
754,"['western', 'drama', 'romance', 'action']"
755,"['western', 'comedy', 'drama', 'action', 'music']"
756,['drama']
757,"['western', 'romance']"
758,"['comedy', 'music']"
759,"['thriller', 'crime', 'drama']"
760,"['drama', 'comedy']"
761,"['drama', 'music']"
762,"['western', 'music', 'comedy', 'drama', 'action']"
763,"['crime', 'drama']"
764,"['western', 'action', 'music', 'romance']"
765,"['drama', 'crime', 'action']"
766,"['drama', 'action', 'comedy', 'crime']"
767,"['western', 'action', 'romance']"
768,"['thriller', 'crime', 'romance']"
769,['drama']
770,"['western', 'romance', 'drama', 'action']"
771,"['crime', 'action', 'drama']"
772,"['western', 'action', 'music', 'comedy']"
773,['western']
774,"['comedy', 'drama']"
775,['drama']
776,['comedy']
777,"['action', 'western']"
778,"['thriller', 'crime', 'drama', 'romance', 'action']"
779,"['western', 'action', 'music', 'comedy']"
780,"['crime', 'romance', 'action', 'drama']"
781,"['western', 'romance', 'action']"
782,"['romance', 'comedy']"
783,['drama']
784,"['western', 'action']"
785,"['crime', 'thriller', 'drama']"
786,['comedy']
787,"['action', 'western']"
788,"['western', 'action']"
789,"['drama', 'romance', 'comedy']"
790,['drama']
791,['drama']
792,"['action', 'drama', 'romance', 'sport']"
793,"['western', 'music', 'romance', 'action']"
794,"['western', 'comedy', 'crime', 'action']"
795,['drama']
796,"['comedy', 'romance', 'action']"
797,"['comedy', 'drama']"
798,"['western', 'action', 'crime']"
799,"['action', 'western', 'comedy']"
800,"['western', 'romance', 'action', 'drama']"
801,"['western', 'drama']"
802,"['drama', 'comedy']"
803,"['western', 'music', 'romance', 'action']"
804,"['western', 'romance', 'action', 'drama']"
805,"['thriller', 'crime', 'drama']"
806,"['western', 'comedy', 'music', 'action']"
807,"['comedy', 'romance']"
808,"['comedy', 'music']"
809,"['thriller', 'drama', 'action', 'crime']"
810,"['western', 'music', 'action']"
811,"['western', 'music', 'action']"
812,"['western', 'drama', 'romance']"
813,"['western', 'music', 'action', 'comedy']"
814,"['thriller', 'romance', 'action', 'crime']"
815,['western']
816,"['western', 'drama', 'action', 'comedy']"
817,['drama']
818,"['western', 'music']"
819,"['western', 'romance', 'action']"
820,"['western', 'music']"
821,"['western', 'action', 'romance', 'animation']"
822,"['music', 'comedy']"
823,"['western', 'music', 'action']"
824,"['western', 'action', 'comedy']"
825,['drama']
826,"['drama', 'action']"
827,"['comedy', 'crime', 'drama', 'music']"
828,"['western', 'romance', 'action', 'drama', 'music']"
829,['western']
830,"['western', 'comedy', 'drama', 'music', 'action']"
831,['drama']
832,"['crime', 'romance', 'drama']"
833,"['western', 'action']"
834,"['western', 'action', 'music', 'romance']"
835,"['comedy', 'music', 'romance']"
836,"['western', 'romance', 'music', 'action']"
837,"['comedy', 'music']"
838,"['western', 'action', 'music', 'romance']"
839,['drama']
840,"['western', 'action', 'history', 'romance']"
841,['drama']
842,"['comedy', 'romance', 'crime', 'drama']"
843,"['western', 'music', 'action']"
844,['western']
845,"['western', 'action']"
846,"['crime', 'drama']"
847,"['western', 'action', 'music', 'romance']"
848,[]
849,"['drama', 'action', 'romance', 'thriller']"
850,"['drama', 'comedy', 'crime', 'music', 'romance']"
851,['western']
852,"['western', 'music', 'action']"
853,"['western', 'action', 'crime']"
854,"['western', 'action', 'romance']"
